cat_name,cat_hedonic_mean,cat_perfrisk_mean,cat_socdemon_mean,cat_invol_mean,cat_utilit_mean,cat_hedonic_sd,cat_perfrisk_sd,cat_socdemon_sd,cat_invol_sd,cat_utilit_sd
beer,5.96118721461187,3.44036697247706,3.3868778280543,3.15458937198068,2.60798122065728,1.51130311855897,0.840300502103284,1.17196793646289,1.41430476264279,1.58860392003168
carbbev,5.32462686567164,3.00925925925926,2.72201492537313,2.78409090909091,2.5625,1.36400690669905,1.04583943242181,1.13925547660518,1.22891831911243,1.47825653911534
cigets,4.26,3.0981308411215,3.11386138613861,2.81720430107527,2.24175824175824,1.89160826234763,1.16643152864666,1.32265110312359,1.37482201661619,1.59576285721253
coffee,5.51821862348178,3.63524590163934,3.0668016194332,3.81102362204724,4.74159663865546,1.34597867829174,0.96339780476709,1.22416019542477,1.29597908698644,1.69742693494663
coldcer,4.74729241877256,3.15714285714286,2.71590909090909,3.12909090909091,4.94021739130435,1.45501440467256,1.0249324032011,1.1136778070267,1.13611463761698,1.35949668086996
deod,2.82646048109966,3.53401360544218,2.43814432989691,3.59688581314879,6.36315789473684,1.34611350432878,1.02554383133287,1.07861117269184,1.00309797424971,0.897302604709296
diapers,2.1,3.72435897435897,2.45138888888889,3.23076923076923,6.40972222222222,1.27342907993403,1.17784592045013,1.10108692209818,1.23451952659262,1.03911659693916
hhclean,2.17697594501718,3.41216216216216,2.58650519031142,3.31010452961672,6.30449826989619,1.27189207256235,1.03533539348567,1.1574597578831,1.01973652305286,0.917999319643022
ketchup,3.44909090909091,2.57962962962963,2.05451127819549,2.85164835164835,4.43939393939394,1.41070887694839,1.04104959004504,1.00369052297511,1.1412096237329,1.49336976113126
laundet,2.39655172413793,3.52901023890785,2.56357388316151,3.42280701754386,6.44845360824742,1.39189019339319,1.00937966330283,1.16274627819378,1.00228920088171,0.797035031730664
margbutr,3.088,2.72289156626506,2.17248908296943,2.80625,4.63025210084034,1.37835243014504,0.980412022652954,1.03541813153776,1.08573987075432,1.43636053334343
mayo,3.07307692307692,2.83333333333333,2.15145228215768,2.77620967741936,4.368,1.42727369033069,1.05175225015159,1.0747518932705,1.16429617163786,1.52376620707222
milk,3.38986013986014,2.80902777777778,2.3386524822695,3.31003584229391,5.70250896057348,1.51284627111271,1.08681763449729,1.13643741256642,1.14180202715458,1.32533183536814
mustard,3.29775280898876,2.45985401459854,2.11538461538462,2.79198473282443,4.26591760299625,1.42754673058019,0.99827395756932,1.02862216487083,1.11316257197384,1.5194476763961
peanbutr,4.37323943661972,2.98070175438597,2.30465949820789,3.30357142857143,4.93840579710145,1.4824492908915,1.08793618361078,1.0830677563922,1.20734969763143,1.42056697842251
pz_di,3.60698689956332,3.21548117154812,2.47072072072072,2.62179487179487,3.90625,1.47289668793721,0.966133939218339,1.11663619916612,1.08200030573216,1.47251538854666
rz_bl,2.61363636363636,3.71641791044776,2.51930501930502,3.47769516728625,6.32692307692308,1.399471531288,1.04298577665983,1.16456645109058,1.02826867061537,0.956004269835739
saltsnck,5.1643598615917,2.96587030716724,2.55952380952381,3.03965517241379,3.3,1.45468938381474,1.00368960278495,1.17163334159817,1.18933258233731,1.56120794329728
shamp,3.09215017064846,3.55631399317406,2.83506944444444,3.66724137931034,6.35590277777778,1.5299654680861,1.05875479186156,1.20454395003455,1.02670028291911,0.902512878435198
soup,3.4,2.93923611111111,2.16420664206642,2.92625899280576,4.73626373626374,1.44889031818211,0.951226298096148,0.994322409199954,1.12766060732649,1.41552706486451
spagsauc,3.88727272727273,3.05457746478873,2.30330882352941,3.06741573033708,4.68795620437956,1.49452218097824,1.04814163208213,1.11882091015468,1.15489562210059,1.41559893674842
sugarsub,2.82167832167832,2.75531914893617,2.51515151515152,2.80740740740741,4.012,1.45035886089333,1.14738370290942,1.09464238982452,1.24586657664872,1.58935978183954
toitisu,2.40436241610738,3.59661016949153,2.44727891156463,3.60034013605442,6.70169491525424,1.3968752150886,1.10809730007199,1.21556012893739,1.00898686384964,0.694362999182648
toothpa,2.79152542372881,3.43243243243243,2.53050847457627,3.65593220338983,6.62116040955631,1.49594555627691,1.09722090949485,1.18411456016494,0.983411939630099,0.770715744245068
yogurt,4.03383458646617,3.01111111111111,2.42723880597015,3.15589353612167,4.58550185873606,1.53228832293749,1.0373448137921,1.14628721083523,1.1139441737403,1.47558925397678
