cat_name,cpi_category,comparison_with_harald
beer,CPI_Beer_ale_and_other_malt_beverages_at_home,
carbbev,CPI_Carbonated_drinks,
cigets,CPI_Cigarettes,
coffee,CPI_Coffee,
coldcer,CPI_Breakfast_cereal,
deod,CPI_Personal_care_products,CPI_Food_and_beverages
diapers,CPI_Household_paper_products,CPI_Hair_dental_shaving_and_miscellaneous_personal_care_products
factiss,CPI_Household_paper_products,
hhclean,CPI_Household_cleaning_products,
hotdog,CPI_Frankfurters,
laundet,CPI_Household_cleaning_products,
margbutr,CPI_Butter_and_margarine,
mayo,CPI_Spices_seasonings_condiments_sauces,
milk,CPI_Milk,
ketchup,CPI_Spices_seasonings_condiments_sauces,
mustard,CPI_Spices_seasonings_condiments_sauces,
paptowls,CPI_Household_paper_products,
peanbutr,CPI_Peanut_butter,
pz_di,CPI_Frozen_and_freeze_dried_prepared_foods,
rz_bl,CPI_Hair_dental_shaving_and_miscellaneous_personal_care_products,
saltsnck,CPI_Snacks,
shamp,CPI_Hair_dental_shaving_and_miscellaneous_personal_care_products,
soup,CPI_Soups,
spagsauc,CPI_Food_and_beverages,misc
sugarsub,CPI_Sugar_and_artificial_sweeteners,
toitisu,CPI_Household_paper_products,
toothpa,CPI_Personal_care_products,
yogurt,CPI_Dairy_and_related_products,
ignore,CPI_Housekeeping_supplies,
ignore,CPI_All_Items,
